Fowlermouth: Dustinshire (2018), East Melvinberg (2006), Dawnview (2811), Lake Jasontown (1712), Donnaville (589), Steeleville (557), Kyleshire (2421), Stevenport (2782), Tammyfort (2255), North Thomas (1732), Pearsonshire (2790), West Jeffreyville (2411), North Justinmouth (730), Lake Kari (1909), New Tammy (948), South Andrewview (1496), Richardtown (261), Frankmouth (2697), West Kimberly (581), North Cynthia (364), Cunninghamport (878), Lake Christopher (1177), North Kevinmouth (1257), Laneland (2284), Justinfort (604), Bellside (1177), Lake Jennifer (1306), New Scottborough (576), Port Tiffany (1670), Port Jacqueline (750), New Josephmouth (2056), Kellyside (223), Dicksontown (2279), Nunezfort (2488), Mullenfurt (1137), Morganburgh (2552), South Jennifermouth (511), New Victorchester (277), Christophershire (852), Stevensstad (274), Lauriestad (1754), Michelletown (779), Edwardsport (1546), Parsonsfort (254), Andrewburgh (2358), West Aimeefurt (1836), Leechester (2393), New Wayne (2667), Robertport (522), Lisaton (1377), Lake Nicholasborough (898), Rossville (336), West Jeffreyburgh (449), Payneburgh (1644), Ginaville (1859), Barnettfort (230), East Lisa (149), North Stevenburgh (2604), Watersland (144), North Jessicafort (1911), North Rebeccabury (1323), Jeremybury (1086), Port Markchester (1256), Frazierfurt (2414), Marioshire (1990), Kennedyhaven (282), Whiteside (2139), Andersonberg (2273), Martinezhaven (1405), East Donna (1558), East Andrewchester (1167), Lake Ginaland (1999), Lake Kimberly (762), Bassmouth (2153), Janicemouth (1075), Johnland (2659), Evansland (754), West Tiffanyburgh (1280), Lake Stanleyton (293), West Terry (339), North Bailey (1708), Brentchester (2017), New Jordanfort (2943), Lisatown (605), South Haleyton (2115), Macdonaldton (1927), Kristinashire (1739), East James (2996), Port Deborah (1170), West Justin (863), Johntown (437), Lake Rita (713), Fosterburgh (1461), Lake Kathrynmouth (1541), New Gwendolyn (1847), Dayview (808), Bryanland (219), Johnsonton (2949), Port Emily (1025)
Dustinshire: Fowlermouth (427), East Melvinberg (1698), Dawnview (556), Lake Jasontown (805), Donnaville (2276), Steeleville (2987), Kyleshire (2153), Stevenport (2771), Tammyfort (2589), North Thomas (1740), Pearsonshire (606), West Jeffreyville (956), North Justinmouth (2224), Lake Kari (1968), New Tammy (647), South Andrewview (2346), Richardtown (1769), Frankmouth (2578), West Kimberly (249), North Cynthia (2640), Cunninghamport (1877), Lake Christopher (1690), North Kevinmouth (875), Laneland (1394), Justinfort (2103), Bellside (289), Lake Jennifer (2163), New Scottborough (1429), Port Tiffany (1906), Port Jacqueline (2217), New Josephmouth (623), Kellyside (2635), Dicksontown (1056), Nunezfort (1566), Mullenfurt (144), Morganburgh (404), South Jennifermouth (2717), New Victorchester (1399), Christophershire (1844), Stevensstad (2498), Lauriestad (781), Michelletown (379), Edwardsport (2060), Parsonsfort (2754), Andrewburgh (241), West Aimeefurt (2684), Leechester (1319), New Wayne (1569), Robertport (237), Lisaton (1442), Lake Nicholasborough (1002), Rossville (2026), West Jeffreyburgh (996), Payneburgh (897), Ginaville (277), Barnettfort (395), East Lisa (2059), North Stevenburgh (2295), Watersland (320), North Jessicafort (480), North Rebeccabury (485), Jeremybury (623), Port Markchester (2393), Frazierfurt (1905), Marioshire (814), Kennedyhaven (678), Whiteside (792), Andersonberg (1254), Martinezhaven (2270), East Donna (1684), East Andrewchester (1809), Lake Ginaland (1345), Lake Kimberly (1882), Bassmouth (1642), Janicemouth (2062), Johnland (2824), Evansland (2030), West Tiffanyburgh (1026), Lake Stanleyton (894), West Terry (1143), North Bailey (2954), Brentchester (703), New Jordanfort (213), Lisatown (322), South Haleyton (818), Macdonaldton (2234), Kristinashire (1804), East James (2472), Port Deborah (2931), West Justin (2848), Johntown (1239), Lake Rita (2568), Fosterburgh (700), Lake Kathrynmouth (580), New Gwendolyn (2375), Dayview (126), Bryanland (2453), Johnsonton (1462), Port Emily (758)
East Melvinberg: Fowlermouth (910), Dustinshire (2789), Dawnview (2619), Lake Jasontown (121), Donnaville (1198), Steeleville (1853), Kyleshire (991), Stevenport (1622), Tammyfort (1978), North Thomas (624), Pearsonshire (1759), West Jeffreyville (2340), North Justinmouth (2305), Lake Kari (2707), New Tammy (2105), South Andrewview (242), Richardtown (2905), Frankmouth (617), West Kimberly (2637), North Cynthia (291), Cunninghamport (2810), Lake Christopher (141), North Kevinmouth (1955), Laneland (2045), Justinfort (625), Bellside (958), Lake Jennifer (2296), New Scottborough (1076), Port Tiffany (407), Port Jacqueline (1633), New Josephmouth (2270), Kellyside (1887), Dicksontown (2190), Nunezfort (670), Mullenfurt (2788), Morganburgh (1420), South Jennifermouth (118), New Victorchester (2504), Christophershire (2477), Stevensstad (275), Lauriestad (2075), Michelletown (325), Edwardsport (2272), Parsonsfort (489), Andrewburgh (1261), West Aimeefurt (500), Leechester (2530), New Wayne (101), Robertport (1898), Lisaton (2040), Lake Nicholasborough (2024), Rossville (802), West Jeffreyburgh (2892), Payneburgh (2657), Ginaville (881), Barnettfort (1312), East Lisa (1951), North Stevenburgh (2349), Watersland (291), North Jessicafort (2298), North Rebeccabury (1290), Jeremybury (2055), Port Markchester (1042), Frazierfurt (1657), Marioshire (2683), Kennedyhaven (1416), Whiteside (2195), Andersonberg (274), Martinezhaven (2629), East Donna (2526), East Andrewchester (1442), Lake Ginaland (1298), Lake Kimberly (2195), Bassmouth (1253), Janicemouth (874), Johnland (419), Evansland (1130), West Tiffanyburgh (1024), Lake Stanleyton (2409), West Terry (2369), North Bailey (730), Brentchester (623), New Jordanfort (395), Lisatown (2438), South Haleyton (2461), Macdonaldton (2014), Kristinashire (2948), East James (481), Port Deborah (1190), West Justin (2677), Johntown (660), Lake Rita (2309), Fosterburgh (997), Lake Kathrynmouth (2729), New Gwendolyn (2718), Dayview (2059), Bryanland (1671), Johnsonton (1949), Port Emily (791)
Dawnview: Fowlermouth (105), Dustinshire (179), East Melvinberg (839), Lake Jasontown (2826), Donnaville (1849), Steeleville (2804), Kyleshire (1844), Stevenport (1082), Tammyfort (2064), North Thomas (718), Pearsonshire (1810), West Jeffreyville (2200), North Justinmouth (272), Lake Kari (1986), New Tammy (181), South Andrewview (2438), Richardtown (1913), Frankmouth (865), West Kimberly (1840), North Cynthia (2546), Cunninghamport (2121), Lake Christopher (1963), North Kevinmouth (1657), Laneland (1507), Justinfort (1522), Bellside (538), Lake Jennifer (1851), New Scottborough (2470), Port Tiffany (2458), Port Jacqueline (2647), New Josephmouth (1889), Kellyside (1213), Dicksontown (271), Nunezfort (2119), Mullenfurt (1173), Morganburgh (2612), South Jennifermouth (1960), New Victorchester (1693), Christophershire (815), Stevensstad (2149), Lauriestad (1585), Michelletown (2994), Edwardsport (1459), Parsonsfort (115), Andrewburgh (2424), West Aimeefurt (2328), Leechester (921), New Wayne (643), Robertport (2051), Lisaton (394), Lake Nicholasborough (1709), Rossville (1600), West Jeffreyburgh (2652), Payneburgh (2547), Ginaville (928), Barnettfort (2862), East Lisa (2151), North Stevenburgh (2446), Watersland (2341), North Jessicafort (1426), North Rebeccabury (1494), Jeremybury (725), Port Markchester (1508), Frazierfurt (895), Marioshire (577), Kennedyhaven (2870), Whiteside (1677), Andersonberg (2600), Martinezhaven (1979), East Donna (1827), East Andrewchester (1098), Lake Ginaland (2970), Lake Kimberly (1172), Bassmouth (2566), Janicemouth (407), Johnland (1871), Evansland (2041), West Tiffanyburgh (1434), Lake Stanleyton (434), West Terry (694), North Bailey (1600), Brentchester (2101), New Jordanfort (952), Lisatown (2454), South Haleyton (2108), Macdonaldton (1598), Kristinashire (2870), East James (2180), Port Deborah (399), West Justin (318), Johntown (753), Lake Rita (264), Fosterburgh (2761), Lake Kathrynmouth (1449), New Gwendolyn (979), Dayview (1624), Bryanland (2705), Johnsonton (2556), Port Emily (1773)
Lake Jasontown: Fowlermouth (1100), Dustinshire (1061), East Melvinberg (2434), Dawnview (827), Donnaville (1573), Steeleville (2918), Kyleshire (2100), Stevenport (1160), Tammyfort (2503), North Thomas (2734), Pearsonshire (188), West Jeffreyville (2543), North Justinmouth (2885), Lake Kari (2473), New Tammy (2265), South Andrewview (2597), Richardtown (2860), Frankmouth (1792), West Kimberly (2680), North Cynthia (2578), Cunninghamport (1509), Lake Christopher (1071), North Kevinmouth (2988), Laneland (1424), Justinfort (2301), Bellside (1475), Lake Jennifer (2312), New Scottborough (886), Port Tiffany (2202), Port Jacqueline (1904), New Josephmouth (1837), Kellyside (289), Dicksontown (758), Nunezfort (1441), Mullenfurt (2772), Morganburgh (1945), South Jennifermouth (1235), New Victorchester (2882), Christophershire (2541), Stevensstad (2584), Lauriestad (2384), Michelletown (2289), Edwardsport (945), Parsonsfort (599), Andrewburgh (2071), West Aimeefurt (2916), Leechester (1406), New Wayne (1568), Robertport (2268), Lisaton (1534), Lake Nicholasborough (2747), Rossville (133), West Jeffreyburgh (1200), Payneburgh (1681), Ginaville (316), Barnettfort (1652), East Lisa (2620), North Stevenburgh (1466), Watersland (1016), North Jessicafort (248), North Rebeccabury (2814), Jeremybury (401), Port Markchester (738), Frazierfurt (1537), Marioshire (869), Kennedyhaven (674), Whiteside (1175), Andersonberg (1676), Martinezhaven (913), East Donna (1844), East Andrewchester (207), Lake Ginaland (959), Lake Kimberly (1564), Bassmouth (513), Janicemouth (115), Johnland (2871), Evansland (639), West Tiffanyburgh (1287), Lake Stanleyton (2950), West Terry (1013), North Bailey (1717), Brentchester (136), New Jordanfort (931), Lisatown (591), South Haleyton (2355), Macdonaldton (2178), Kristinashire (2161), East James (2240), Port Deborah (2437), West Justin (2658), Johntown (2677), Lake Rita (1561), Fosterburgh (809), Lake Kathrynmouth (833), New Gwendolyn (1604), Dayview (2785), Bryanland (1179), Johnsonton (1617), Port Emily (2309)
Donnaville: Fowlermouth (2996), Dustinshire (757), East Melvinberg (477), Dawnview (945), Lake Jasontown (2196), Steeleville (926), Kyleshire (2223), Stevenport (2452), Tammyfort (2066), North Thomas (542), Pearsonshire (1458), West Jeffreyville (2196), North Justinmouth (1227), Lake Kari (1457), New Tammy (496), South Andrewview (534), Richardtown (2063), Frankmouth (199), West Kimberly (275), North Cynthia (386), Cunninghamport (1491), Lake Christopher (387), North Kevinmouth (2535), Laneland (1971), Justinfort (1403), Bellside (2879), Lake Jennifer (2905), New Scottborough (455), Port Tiffany (340), Port Jacqueline (1420), New Josephmouth (446), Kellyside (1863), Dicksontown (2561), Nunezfort (2602), Mullenfurt (427), Morganburgh (2766), South Jennifermouth (1046), New Victorchester (650), Christophershire (1764), Stevensstad (326), Lauriestad (860), Michelletown (1439), Edwardsport (1821), Parsonsfort (2493), Andrewburgh (2069), West Aimeefurt (659), Leechester (1684), New Wayne (2922), Robertport (1752), Lisaton (989), Lake Nicholasborough (1040), Rossville (1688), West Jeffreyburgh (1012), Payneburgh (1638), Ginaville (2843), Barnettfort (494), East Lisa (2527), North Stevenburgh (1700), Watersland (2976), North Jessicafort (860), North Rebeccabury (2786), Jeremybury (2743), Port Markchester (1744), Frazierfurt (1332), Marioshire (1696), Kennedyhaven (337), Whiteside (2418), Andersonberg (1424), Martinezhaven (2021), East Donna (984), East Andrewchester (297), Lake Ginaland (2350), Lake Kimberly (2555), Bassmouth (1474), Janicemouth (1875), Johnland (1226), Evansland (697), West Tiffanyburgh (1946), Lake Stanleyton (2296), West Terry (175), North Bailey (2355), Brentchester (219), New Jordanfort (784), Lisatown (1190), South Haleyton (213), Macdonaldton (897), Kristinashire (632), East James (1316), Port Deborah (343), West Justin (1294), Johntown (1274), Lake Rita (2667), Fosterburgh (1042), Lake Kathrynmouth (1097), New Gwendolyn (2569), Dayview (251), Bryanland (1357), Johnsonton (1807), Port Emily (2775)
Steeleville: Fowlermouth (2823), Dustinshire (1119), East Melvinberg (1462), Dawnview (1228), Lake Jasontown (919), Donnaville (2092), Kyleshire (1952), Stevenport (1573), Tammyfort (698), North Thomas (386), Pearsonshire (2217), West Jeffreyville (1519), North Justinmouth (455), Lake Kari (2486), New Tammy (2110), South Andrewview (1313), Richardtown (1458), Frankmouth (851), West Kimberly (2377), North Cynthia (2993), Cunninghamport (2351), Lake Christopher (450), North Kevinmouth (1716), Laneland (131), Justinfort (2750), Bellside (2625), Lake Jennifer (1929), New Scottborough (2843), Port Tiffany (693), Port Jacqueline (556), New Josephmouth (421), Kellyside (2225), Dicksontown (1026), Nunezfort (1320), Mullenfurt (2344), Morganburgh (2524), South Jennifermouth (105), New Victorchester (1318), Christophershire (1677), Stevensstad (850), Lauriestad (112), Michelletown (462), Edwardsport (2613), Parsonsfort (666), Andrewburgh (251), West Aimeefurt (1570), Leechester (1304), New Wayne (2041), Robertport (2019), Lisaton (678), Lake Nicholasborough (656), Rossville (459), West Jeffreyburgh (2865), Payneburgh (2651), Ginaville (2657), Barnettfort (845), East Lisa (1316), North Stevenburgh (2065), Watersland (1506), North Jessicafort (552), North Rebeccabury (2427), Jeremybury (2867), Port Markchester (1955), Frazierfurt (1847), Marioshire (1619), Kennedyhaven (2881), Whiteside (191), Andersonberg (1235), Martinezhaven (2340), East Donna (1080), East Andrewchester (1734), Lake Ginaland (1835), Lake Kimberly (1623), Bassmouth (2630), Janicemouth (2060), Johnland (1385), Evansland (905), West Tiffanyburgh (680), Lake Stanleyton (1916), West Terry (2737), North Bailey (1598), Brentchester (2429), New Jordanfort (1457), Lisatown (825), South Haleyton (1449), Macdonaldton (1102), Kristinashire (1717), East James (930), Port Deborah (508), West Justin (2202), Johntown (365), Lake Rita (2844), Fosterburgh (902), Lake Kathrynmouth (1543), New Gwendolyn (2615), Dayview (2255), Bryanland (2875), Johnsonton (2994), Port Emily (299)
Kyleshire: Fowlermouth (167), Dustinshire (1950), East Melvinberg (2126), Dawnview (1933), Lake Jasontown (755), Donnaville (261), Steeleville (209), Stevenport (2984), Tammyfort (875), North Thomas (850), Pearsonshire (729), West Jeffreyville (543), North Justinmouth (843), Lake Kari (633), New Tammy (957), South Andrewview (468), Richardtown (2783), Frankmouth (941), West Kimberly (672), North Cynthia (2941), Cunninghamport (1719), Lake Christopher (1120), North Kevinmouth (734), Laneland (2919), Justinfort (145), Bellside (160), Lake Jennifer (1166), New Scottborough (188), Port Tiffany (959), Port Jacqueline (184), New Josephmouth (179), Kellyside (2898), Dicksontown (2019), Nunezfort (2360), Mullenfurt (2016), Morganburgh (2486), South Jennifermouth (2620), New Victorchester (775), Christophershire (229), Stevensstad (168), Lauriestad (1806), Michelletown (2943), Edwardsport (2098), Parsonsfort (2692), Andrewburgh (1703), West Aimeefurt (1941), Leechester (602), New Wayne (910), Robertport (2908), Lisaton (2360), Lake Nicholasborough (2667), Rossville (948), West Jeffreyburgh (2993), Payneburgh (563), Ginaville (2124), Barnettfort (2054), East Lisa (271), North Stevenburgh (1825), Watersland (825), North Jessicafort (2708), North Rebeccabury (545), Jeremybury (2866), Port Markchester (2474), Frazierfurt (1455), Marioshire (185), Kennedyhaven (1117), Whiteside (126), Andersonberg (2155), Martinezhaven (1190), East Donna (2661), East Andrewchester (1728), Lake Ginaland (401), Lake Kimberly (1531), Bassmouth (1913), Janicemouth (2616), Johnland (679), Evansland (2803), West Tiffanyburgh (849), Lake Stanleyton (2782), West Terry (499), North Bailey (2150), Brentchester (1838), New Jordanfort (1785), Lisatown (2579), South Haleyton (762), Macdonaldton (1084), Kristinashire (1332), East James (890), Port Deborah (2839), West Justin (1459), Johntown (1612), Lake Rita (1980), Fosterburgh (1761), Lake Kathrynmouth (822), New Gwendolyn (1754), Dayview (367), Bryanland (1621), Johnsonton (1843), Port Emily (1961)
Stevenport: Fowlermouth (1116), Dustinshire (449), East Melvinberg (535), Dawnview (1646), Lake Jasontown (604), Donnaville (1416), Steeleville (2199), Kyleshire (1015), Tammyfort (726), North Thomas (2917), Pearsonshire (1719), West Jeffreyville (1937), North Justinmouth (431), Lake Kari (946), New Tammy (2166), South Andrewview (959), Richardtown (1546), Frankmouth (1427), West Kimberly (750), North Cynthia (2864), Cunninghamport (1107), Lake Christopher (2383), North Kevinmouth (283), Laneland (2617), Justinfort (2573), Bellside (2185), Lake Jennifer (1735), New Scottborough (2965), Port Tiffany (214), Port Jacqueline (2866), New Josephmouth (2985), Kellyside (1611), Dicksontown (273), Nunezfort (676), Mullenfurt (666), Morganburgh (854), South Jennifermouth (2700), New Victorchester (1777), Christophershire (1146), Stevensstad (1275), Lauriestad (2754), Michelletown (1944), Edwardsport (1888), Parsonsfort (299), Andrewburgh (1546), West Aimeefurt (2238), Leechester (240), New Wayne (1460), Robertport (956), Lisaton (839), Lake Nicholasborough (740), Rossville (1586), West Jeffreyburgh (1038), Payneburgh (2838), Ginaville (2134), Barnettfort (1319), East Lisa (870), North Stevenburgh (1250), Watersland (2436), North Jessicafort (547), North Rebeccabury (1456), Jeremybury (1202), Port Markchester (2293), Frazierfurt (1020), Marioshire (2319), Kennedyhaven (1122), Whiteside (141), Andersonberg (1891), Martinezhaven (137), East Donna (2946), East Andrewchester (735), Lake Ginaland (420), Lake Kimberly (2929), Bassmouth (2166), Janicemouth (1488), Johnland (1625), Evansland (2850), West Tiffanyburgh (2889), Lake Stanleyton (800), West Terry (2508), North Bailey (2556), Brentchester (1427), New Jordanfort (1429), Lisatown (1830), South Haleyton (2559), Macdonaldton (435), Kristinashire (2454), East James (2696), Port Deborah (1309), West Justin (1172), Johntown (1930), Lake Rita (601), Fosterburgh (2346), Lake Kathrynmouth (1723), New Gwendolyn (1257), Dayview (2980), Bryanland (782), Johnsonton (2622), Port Emily (1143)
Tammyfort: Fowlermouth (952), Dustinshire (2047), East Melvinberg (947), Dawnview (2538), Lake Jasontown (1323), Donnaville (1001), Steeleville (1912), Kyleshire (165), Stevenport (2413), North Thomas (978), Pearsonshire (1908), West Jeffreyville (1958), North Justinmouth (173), Lake Kari (530), New Tammy (1146), South Andrewview (149), Richardtown (2394), Frankmouth (802), West Kimberly (1186), North Cynthia (1454), Cunninghamport (1465), Lake Christopher (2760), North Kevinmouth (896), Laneland (1279), Justinfort (1119), Bellside (344), Lake Jennifer (1103), New Scottborough (1564), Port Tiffany (2477), Port Jacqueline (1658), New Josephmouth (755), Kellyside (2759), Dicksontown (2664), Nunezfort (2539), Mullenfurt (1780), Morganburgh (2182), South Jennifermouth (2585), New Victorchester (780), Christophershire (1886), Stevensstad (492), Lauriestad (1097), Michelletown (2247), Edwardsport (821), Parsonsfort (798), Andrewburgh (1595), West Aimeefurt (1113), Leechester (857), New Wayne (2836), Robertport (406), Lisaton (181), Lake Nicholasborough (590), Rossville (2500), West Jeffreyburgh (2574), Payneburgh (142), Ginaville (2462), Barnettfort (1673), East Lisa (2337), North Stevenburgh (2593), Watersland (585), North Jessicafort (2978), North Rebeccabury (1656), Jeremybury (1100), Port Markchester (2707), Frazierfurt (1390), Marioshire (1870), Kennedyhaven (1218), Whiteside (1933), Andersonberg (2706), Martinezhaven (2778), East Donna (2028), East Andrewchester (2540), Lake Ginaland (1143), Lake Kimberly (1434), Bassmouth (940), Janicemouth (2997), Johnland (1262), Evansland (880), West Tiffanyburgh (1884), Lake Stanleyton (2468), West Terry (526), North Bailey (2768), Brentchester (1007), New Jordanfort (2420), Lisatown (2018), South Haleyton (2150), Macdonaldton (314), Kristinashire (355), East James (2374), Port Deborah (2272), West Justin (1610), Johntown (2528), Lake Rita (2612), Fosterburgh (1816), Lake Kathrynmouth (2896), New Gwendolyn (1871), Dayview (2055), Bryanland (2398), Johnsonton (2658), Port Emily (1723)
North Thomas: Fowlermouth (766), Dustinshire (279), East Melvinberg (2890), Dawnview (662), Lake Jasontown (1479), Donnaville (2781), Steeleville (1704), Kyleshire (425), Stevenport (846), Tammyfort (269), Pearsonshire (1425), West Jeffreyville (2557), North Justinmouth (1094), Lake Kari (802), New Tammy (884), South Andrewview (265), Richardtown (240), Frankmouth (1784), West Kimberly (2354), North Cynthia (2587), Cunninghamport (229), Lake Christopher (2264), North Kevinmouth (2114), Laneland (2380), Justinfort (2194), Bellside (2696), Lake Jennifer (2239), New Scottborough (1353), Port Tiffany (2653), Port Jacqueline (674), New Josephmouth (1017), Kellyside (643), Dicksontown (2073), Nunezfort (1834), Mullenfurt (316), Morganburgh (2933), South Jennifermouth (1120), New Victorchester (709), Christophershire (1716), Stevensstad (1624), Lauriestad (1926), Michelletown (2685), Edwardsport (1374), Parsonsfort (2587), Andrewburgh (1608), West Aimeefurt (925), Leechester (2614), New Wayne (993), Robertport (2770), Lisaton (2125), Lake Nicholasborough (2028), Rossville (1524), West Jeffreyburgh (2784), Payneburgh (2350), Ginaville (144), Barnettfort (543), East Lisa (522), North Stevenburgh (665), Watersland (1707), North Jessicafort (1633), North Rebeccabury (564), Jeremybury (1089), Port Markchester (471), Frazierfurt (1761), Marioshire (2966), Kennedyhaven (1953), Whiteside (1970), Andersonberg (2405), Martinezhaven (2427), East Donna (1376), East Andrewchester (2639), Lake Ginaland (2668), Lake Kimberly (2189), Bassmouth (1980), Janicemouth (124), Johnland (542), Evansland (2802), West Tiffanyburgh (640), Lake Stanleyton (1832), West Terry (1181), North Bailey (1011), Brentchester (1692), New Jordanfort (318), Lisatown (1208), South Haleyton (2289), Macdonaldton (153), Kristinashire (1693), East James (263), Port Deborah (2092), West Justin (983), Johntown (286), Lake Rita (2420), Fosterburgh (316), Lake Kathrynmouth (2278), New Gwendolyn (2621), Dayview (1962), Bryanland (693), Johnsonton (2275), Port Emily (756)
